STT,Tên file (optional),Query,Trạng thái,Đáp án
1,,"Câu query-p1-1-kisCảnh quay một nhóm hơn 5 người xếp thành hàng tập thể dục, cùng thực hiện động tác hai tay chạm mũi chân. Trong nhóm chỉ có một người đeo kính và ba người đội nón có màu đỏ.",Chắn chắn,"L30_V046,6622"
2,Câu query-p1-2-kis,"Đoạn phim bắt đầu bằng một bản đồ, trên đó một loại công trình thủy lợi lần lượt xuất hiện bốn lần. Sau đó chuyển sang cảnh một con đập được quay từ trên cao, tiếp đến là cảnh cận con đập dưới trời mưa.",Chắn chắn,
3,,"Câu query-p1-3-qaHình ảnh một con cá được đặt lên cân, sau đó có cảnh một con cá khác cùng loại bị một người cầm đuôi. Con số hiển thị cuối cùng trên cân là bao nhiêu?",Chắn chắn,"L21_V007,8845,""37.05"""
4,,"Câu query-p1-4-kisMột đàn sư tử đang nghỉ ngơi và leo trèo trên các bục gỗ trong khu nuôi dưỡng, phía trước có bảng thông tin của London Zoo phục vụ công tác theo dõi và bảo tồn động vật. Sau đó có cảnh hai nhân viên mặc áo xanh lá đang cân và ghi nhận số liệu của một con vật trong khuôn viên sở thú.",Chắn chắn,"L22_V021,19638"
5,,"Câu query-p1-5-kisĐoạn clip bắt đầu bằng việc đậu Hà Lan được bỏ vào với mực đang được xào trên chảo, bên cạnh là đĩa hành tây và ớt đỏ thái lát chuẩn bị cho vào món ăn. Đoạn clip kết thúc với khung quay chậm (slow motion) cảnh lắc chảo trên bếp lửa.",Chắn chắn,"L26_V035,5103"
6,,"Câu query-p1-6-kisMẩu tin bắt đầu với hình ảnh một người đàn ông mặc vest xanh đậm, sơ mi trắng và cà vạt, đang ngồi trên một chiếc ghế lớn. Ông cầm bằng hai tay một khối đá quý thô khá lớn, đưa lên gần mặt để quan sát. Bên phải là một phụ nữ mặc trang phục công sở màu đen và khăn trùm đầu màu hồng tím, đang đứng cạnh và mỉm cười. Tiếp theo có hình ảnh toàn cảnh từ trên cao của một mỏ đá quý lộ thiên quy mô lớn với hố khai thác sâu nhiều tầng và hệ thống đường vận chuyển bao quanh.",Chắn chắn,"L22_V023,18106"
7,,"Câu query-p1-7-kisĐoạn clip bắt đầu bằng cảnh cà rốt cắt hình ngôi sao đang được luộc trong nồi nước sôi, đặt trong rổ lưới kim loại và được đảo bằng đôi đũa gỗ. Đoạn clip kết thúc bằng hình ảnh đĩa rau củ luộc và đồ chiên được trình bày đẹp mắt, gồm đậu bắp, súp lơ, cà rốt hình ngôi sao, bí xanh, chén nước chấm màu hồng ở giữa và đôi đũa màu hồng nhạt đặt bên phải.",Chắn chắn,"L26_V041,3645"
8,,"Câu query-p1-8-kisNgười đầu bếp lần lượt đặt các miếng nguyên liệu dạng thanh và những lát cắt hình hoa vào một đĩa đang được hấp trong nồi. Các nguyên liệu được dùng đũa sắp xếp xen kẽ xung quanh phần thức ăn đã có sẵn trên đĩa. Sau đó, đầu bếp dùng muỗng lấy thêm một loại nguyên liệu mềm từ tô thủy tinh. Phần nguyên liệu này được đặt vào giữa đĩa, xung quanh là các miếng dạng thanh và hình hoa đã được sắp xếp trước đó.",Chắn chắn,"L26_V171,5466"
9,,"Câu query-p1-9-qa
Đoạn phim ghi lại cảnh những chiếc xe ô tô lội nước, chiếc xe màu vàng, màu đỏ và màu đen lần lượt chuẩn bị đi qua cầu. Con số được ghi trên biển báo bên trái của cây cầu là bao nhiêu?",Chắn chắn,"L21_V003,26240,""2.15"""
10,,Câu query-p1-10-kisHành động cắt chùm nho từ giàn nho bằng một chiếc kéo màu đen. Có thể thấy có một sợi dây màu xanh dương được buộc vào cuống của chùm nho này trước khi nó được cắt.,Chắn chắn,"L29_V103,11288"
11,,"Câu query-p1-11-kisCảnh quay chậm tại vị trí vạch đích của cuộc đua xe đạp. Góc máy sát mặt đường bắt trọn khoảnh khắc về đích theo thứ tự nhất, nhì, ba lần lượt là 1 tay đua áo vàng quần đen, 1 tay đua áo xanh dương quần đen và 1 tay đua áo xanh dương quần đỏ.",Chắn chắn,"L23_V021,6365"
12,,"Câu query-p1-12-kis
Có thể thấy trong cảnh quay có 4 tài xế xe ôm công nghệ trong trạm xăng, trong đó 3 người đứng đợi còn 1 người lái xe từ trái sang phải khung hình. Trước đó là cảnh một người đậy nắp bình xăng xe máy của họ. Có thông tin về giá dầu mazut được hiển thị trong khung hình.",Chắn chắn,"L22_V015,3860"
13,,"Câu query-p1-13-kisMột người đứng dưới nước và rọi đèn. Tiếp theo là cảnh người này kéo lưới cá lúc bình minh, sau đó được một nhóm người khác tiến đến dùng máy quay ghi hình.",Chắn chắn,"L29_V021,6217"
14,,"Câu query-p1-14-kisNgười đầu bếp lần lượt đặt các miếng nguyên liệu dạng thanh và những lát cắt hình hoa vào một đĩa đang được hấp trong nồi. Các nguyên liệu được dùng đũa sắp xếp xen kẽ xung quanh phần thức ăn đã có sẵn trên đĩa. Sau đó, đầu bếp dùng muỗng lấy thêm một loại nguyên liệu mềm từ tô thủy tinh. Phần nguyên liệu này được đặt vào giữa đĩa, xung quanh là các miếng dạng thanh và hình hoa đã được sắp xếp trước đó.",Chắn chắn,"L26_V171,5672"
15,,"Câu query-p1-15-qaBản đồ phân bố động đất tại một vùng trên thế giới, với một bảng chú giải phía bên trái gồm các kí hiệu nhiều màu sắc tương ứng với các vị trí tâm chấn có cấp độ động đất khác nhau. Không tính bảng chú giải, có bao nhiêu vị trí ghi nhận động đất cấp độ 4?",Chắn chắn,"L21_V010,19511,""12"""
16,,"Câu query-p1-16-trakeĐoạn video bắt đầu bằng ảnh cận đầu một con lân trắng, mũi đỏ, bên cạnh lá cờ trắng viền đỏ.
E1: Khoảnh khắc đầu tiên xuất hiện đầy đủ hai con rồng vàng đang xoay vòng.
E2: Khoảnh khắc đầu tiên con lân hoàn tất cú xoay người trên các thanh trụ (thời điểm đầu tiên các chân của lân đặt trên trụ sau khi xoay).
E3: Khoảnh khắc đầu tiên dùi chạm vào kẻng đồng múa lân.",Chắn chắn,"L24_V024,9454,10147,10194"
17,,"Câu query-p1-17-qaĐoạn clip mô tả hậu quả của hiện tượng sạt lở đất nghiêm trọng, đất đá tràn xuống gây tắc nghẽn hoàn toàn một đoạn đường đèo. Trong một cảnh quay cận, có thể thấy một cột mốc đường bộ với phần đỉnh màu đỏ chỉ còn lộ ra phần trên, phần lớn đã bị đất đá vùi lấp. Ở cảnh quay cuối, một người đi xe máy đang vật lộn để điều khiển phương tiện vượt qua khu vực bùn lầy, trên chiếc xe máy có treo một vật màu xanh lá. Tên của con đèo là gì?",Chắn chắn,"L22_V008,5633,""Đèo Tà Pứa"""
18,,"Câu query-p1-18-kisCảnh quay cho thấy hành động trình bày món ăn sau khi hoàn thành giai đoạn chế biến. Bún được cho đầu tiên vào một chén rỗng, sau đó đầu bếp lần lượt cho từng vá nước dùng cùng các nguyên liệu như thịt gà, cà rốt, sả, nấm mèo vào chén bún, và kết thúc bằng việc thả một cọng ngò lên trên cùng. Cảnh quay tiếp theo là cảnh zoom xa dần chén bún, ta thấy bên cạnh chén bún còn có 1 chén nước chấm nhỏ với 2 miếng ớt.",Chắn chắn,"L26_V389, 5749"
19,,"Câu query-p1-19-kisCon lân do hai người điều khiển đang đứng thẳng và xoay vòng trên đỉnh cột. Sau vài giây nghỉ, con lân bất ngờ nhảy qua hai chiếc cột kế bên, chúi đầu xuống ngoạm lấy quả bí đỏ kèm bông hoa màu vàng. Cảnh quay kết thúc khi con lân tiếp tục nhảy sang các cột tiếp theo.",Chắn chắn,"L24_V035,13967"
20,,"Câu query-p1-20-kisBa người đang đi bộ xuống một con dốc trong cơn mưa, có 2 người cầm dù, trong đó người cầm dù đi sau lại mặc một chiếc áo mưa có in hình con gấu ở sau lưng. Sau đó ta thấy nhiều người đang cùng nhau bước về hướng một căn nhà thông qua một con đường đất, bên cạnh là một cái ao.",Chắn chắn,"L21_V026,7481"
21,Câu query-p1-21-kis,"Cảnh quay bắt đầu bằng cảnh những con tôm đã được lột vỏ và nấu chín đang nằm trên dĩa, phía sau là người đầu bếp đang đặt 3 ổ bánh mì lên bàn. Sau đó là cảnh quay các đầu bếp, có người thì trang trí món ăn, có người thì chế biến món ăn. Những con tôm được cắt làm đôi và được nướng trên bếp.",Cân nhắc,SOS
22,,"Câu query-p1-22-kisNgười phụ nữ mặc áo dài màu hồng, đeo kính đang giảng giải về các trường hợp sử dụng khác nhau của động từ ""remember"" dựa trên mốc thời gian của hành động được nhắc tới.",Chắn chắn,"L25_V041,17103"
23,,"Câu query-p1-23-kisHình ảnh giáo viên nam mặc sơ mi trắng, thắt cà vạt tối màu, nổi bật trên phông nền xanh dương đậm có hoa văn mờ.Slide bài giảng: Nền trắng với khung viền màu hồng tím, phía trên có thanh tiêu đề xanh dương chứa họa tiết địa cầu và mũi tên vàng/xanh ngọc. Bên dưới là sơ đồ 3 tầng được liên kết bởi các mũi tên xanh ngọc trỏ xuống:Tầng 1: 2 khối hộp được bao bởi 1 khối hộp cam.Tầng 2: 1 khối hộp lớn màu xanh dương đậm ở chính giữa.Tầng 3: 2 khối hộp được bao bởi 1 khối hộp xanh lá cây.",Chắn chắn,"L25_V060,28784"
24,,"Câu query-p1-24-kisĐoạn clip được cắt từ một phóng sự về một nhóm các nghệ nhân làm nghề đan lát các sản phẩm thủ công từ cây lục bình. Đầu tiên là một cảnh lia cam duy nhất từ trái sang phải, theo thứ tự ta thấy 4 sản phẩm: túi xách, chậu hoa, bộ ấm tách trà và túi xách. Ngay sau cảnh này, người phụ nữ bên trái lấy một tách trà trong bộ ấm tách và nâng niu trong khi nghe người phụ nữ bên phải trò chuyện.",Chắn chắn,"L29_V001,8855"
25,,"Câu query-p1-25-kisHai bạn học sinh mặc đồng phục áo trắng, quần xanh, quàng khăn đỏ đang làm MC trên một sân khấu tại trường học, phía sau là một bộ trống cơ màu đỏ và một cây đàn piano.",Chắn chắn,"L30_V003,6550"
"Câu query-p2-26-kis
Một bài giảng chuyển qua nhiều sơ đồ hình học không gian. Các hình ban đầu gồm một đường xiên đi qua một hình phẳng và hai hình phẳng giao nhau. Tiếp đó xuất hiện một điểm phía trên một hình phẳng có đoạn thẳng nối vuông góc xuống dưới. Cuối cùng là một khối gồm bốn đỉnh, sau đó được bổ sung thêm các đường nét đứt, điểm và ký hiệu vuông góc.",Chắn chắn,"L25_V043,5871
",,
"Câu query-p2-27-qa
Cảnh quay 2 người đang nắn những cục bột nhỏ thành hình dẹt. 1 người nắn cục bột màu trắng, người còn lại nắn cục bột màu khác. Sau đó họ đặt nhân vào phần giữa và cuộn lớp bột bao quanh phần nhân. Trước khi đặt lên dĩa, họ đặt thành phẩm lên 1 miếng lá nhỏ.
Câu hỏi: Trên dĩa có mấy màu bột khác nhau?",Chắn chắn,"L29_V020,24730,""2""",,
"Câu query-p2-28-kis
Cảnh quay phỏng vấn một người phụ nữ, đeo kính gọng đen, tay đang ôm một bao đồ như quần áo. Xung quanh đó có những bao đồ khác. Bao đồ trên tay người phụ nữ có màu trắng và có 1 logo màu xanh lá cây.",Chắn chắn," L30_V091,2720",,
"Câu query-p2-29-kis
Một người đang múc canh từ trong nồi qua một tô nhỏ hơn. Chiếc tô này đang đặt trên 1 tấm vải có sọc trắng và đặt trên một khay gỗ. Tổng số lần quay được của người này múc canh ra tô là 2 lần.",Chắn chắn,"
L26_V051,5982 ",,
"Câu query-p2-30-kis
Đoạn clip bắt đầu khi có 1 người đang phất cờ về đích đến trong chặng đua xe đạp quanh hồ. Ngay sau đó, một đoàn đông vận động viên xe đạp đang vào cua giữa khung cảnh đường phố rợp bóng cây. Một người đứng bên đường, tay trái cầm điện thoại để ghi hình, còn tay phải cầm một cây gậy có gắn thiết bị quay ở đầu hướng về phía đoàn đua.",Chắn chắn,"L23_018,8914",,
"Câu query-p2-31-kis
Điểm thú vị trong cảnh là một bạn trẻ có mái tóc sáng màu, trông có vẻ là người nước ngoài, đang ngồi xếp bằng cùng người dân địa phương và trực tiếp tham gia đóng gói những chiếc bánh gói lá. Trong cảnh có chiếc quạt máy với cánh quạt màu xanh lá cây.",Chắn chắn,"L30_V023,3727",,
"Câu query-p2-32-kis
Đoạn phim bắt đầu với cảnh hai mẹ con cầm điện thoại trò chuyện, sau đó chuyển sang cảnh người con trả lời phỏng vấn, phía sau có một phụ nữ da đen đang bước qua.",Chắn chắn,"L21_V010,23455",,
"Câu query-p2-33-kis
Cảnh quay slow motion từ flycam ghi lại màn nước rút của hai tay đua dẫn đầu, trong đó tay đua mũ đen được cho là đuối sức hơn tay đua mũ trắng và để thua ở đoạn cuối.",Chắn chắn,"L23_V009,6530",,
"Câu query-p2-34-trake
Con lân màu đỏ đang biểu diễn trên các cột trụ.
E1: Con lân treo hai chân trước vào phần dưới thân của hai trụ gần cuối (gần trụ cuối cùng cao nhất).
E2: Con lân đứng thẳng sau khi di chuyển từ cuối dãy trụ về, hai chân đứng trên hai trụ khác nhau và một chân trước co lên.
E3: Khoảnh khắc con lân hoàn tất động tác ngoảnh mặt theo hướng ngược lại.
E4: Khoảnh khắc đầu tiên con lân ngậm một thanh trụ.",Chắn chắn,"L24_V013,9865,10214,10343,10643",,
"Câu query-p2-35-qa
Giải đề THPTQG 2018 tại nhóm X. Nhóm này gồm 4 câu hỏi trắc nghiệm 4 đáp án A, B, C, D, trong đó đáp án 4 câu không trùng nhau và đều chứa chữ số 0.
Câu hỏi: X là số mấy?",Chắn chắn,"L25_V014,41143,""3""",,
